
Sample,Date,GMT,Air/Ground,Altitude,Airspeed,FLT Number,Flap Handle-Pos,Flap Posn-L,Flap Posn-R,FlapSkew 1 Pos,FlapSkew 2 Pos,FlapSkew 3 Pos,FlapSkew 4 Pos,FlapSkew 5 Pos,FlapSkew 6 Pos,FlapSkew 7 Pos,FlapSkew 8 Pos,FlapsSkew 1to8 ,FlapsSkew 2to7 ,FlapsSkew 3to6 ,FlapsSkew 4to5 ,
72,03:24,13:36:07,ground,499.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
73,03:24,13:36:08,ground,499.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
74,03:24,13:36:09,ground,499.0,45.0,,5.0,,2.2,214,,,,,,,,normal,normal,normal,normal,
75,03:24,13:36:10,ground,499.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
76,03:24,13:36:11,ground,499.0,45.0,,5.0,,2.2,,,412,,,,,,normal,normal,normal,normal,
77,03:24,13:36:12,ground,499.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
78,03:24,13:36:13,ground,499.0,45.0,,5.0,,2.2,,,,,,,,207,normal,normal,normal,normal,
79,03:24,13:36:14,ground,499.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
80,03:24,13:36:15,ground,499.0,45.0,,5.0,,2.2,,,,,,410,,,normal,normal,normal,normal,
81,03:24,13:36:16,ground,499.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
82,03:24,13:36:17,ground,499.0,45.0,,5.0,,2.2,,364,,,,,,,normal,normal,normal,normal,
83,03:24,13:36:18,ground,499.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
84,03:24,13:36:19,ground,499.0,45.0,,5.0,,2.2,,,,260,,,,,normal,normal,normal,normal,
85,03:24,13:36:20,ground,500.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
86,03:24,13:36:21,ground,499.0,45.0,,5.0,,2.2,,,,,,,362,,normal,normal,normal,normal,
87,03:24,13:36:22,ground,500.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
88,03:24,13:36:23,ground,500.0,45.0,,5.0,,2.2,,,,,254,,,,normal,normal,normal,normal,
89,03:24,13:36:24,ground,500.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
90,03:24,13:36:25,ground,500.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
91,03:24,13:36:26,ground,500.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
92,03:24,13:36:27,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
93,03:24,13:36:28,ground,501.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
94,03:24,13:36:29,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
95,03:24,13:36:30,ground,500.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
96,03:24,13:36:31,ground,500.0,45.0,GIA217  ,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
97,03:24,13:36:32,ground,500.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
98,03:24,13:36:33,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
99,03:24,13:36:34,ground,501.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
100,03:24,13:36:35,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
101,03:24,13:36:36,ground,501.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
102,03:24,13:36:37,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
103,03:24,13:36:38,ground,501.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
104,03:24,13:36:39,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
105,03:24,13:36:40,ground,501.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
106,03:24,13:36:41,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
107,03:24,13:36:42,ground,501.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
108,03:24,13:36:43,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
109,03:24,13:36:44,ground,501.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
110,03:24,13:36:45,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
111,03:24,13:36:46,ground,501.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
112,03:24,13:36:47,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
113,03:24,13:36:48,ground,501.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
114,03:24,13:36:49,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
115,03:24,13:36:50,ground,502.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
116,03:24,13:36:51,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
117,03:24,13:36:52,ground,501.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
118,03:24,13:36:53,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
119,03:24,13:36:54,ground,502.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
120,03:24,13:36:55,ground,502.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
121,03:24,13:36:56,ground,502.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
122,03:24,13:36:57,ground,502.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
123,03:24,13:36:58,ground,501.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
124,03:24,13:36:59,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
125,03:24,13:37:00,ground,501.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
126,03:24,13:37:01,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
127,03:24,13:37:02,ground,501.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
128,03:24,13:37:03,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
129,03:24,13:37:04,ground,501.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
130,03:24,13:37:05,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
131,03:24,13:37:06,ground,501.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
132,03:24,13:37:07,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
133,03:24,13:37:08,ground,501.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
134,03:24,13:37:09,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
135,03:24,13:37:10,ground,501.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
136,03:24,13:37:11,ground,501.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
137,03:24,13:37:12,ground,501.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
138,03:24,13:37:13,ground,501.0,45.0,,5.0,,2.2,214,,,,,,,,normal,normal,normal,normal,
139,03:24,13:37:14,ground,501.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
140,03:24,13:37:15,ground,500.0,45.0,,5.0,,2.2,,,412,,,,,,normal,normal,normal,normal,
141,03:24,13:37:16,ground,500.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
142,03:24,13:37:17,ground,500.0,45.0,,5.0,,2.2,,,,,,,,207,normal,normal,normal,normal,
143,03:24,13:37:18,ground,499.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
144,03:24,13:37:19,ground,499.0,45.0,,5.0,,2.2,,,,,,410,,,normal,normal,normal,normal,
145,03:24,13:37:20,ground,499.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
146,03:24,13:37:21,ground,499.0,45.0,,5.0,,2.2,,364,,,,,,,normal,normal,normal,normal,
147,03:24,13:37:22,ground,499.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
148,03:24,13:37:23,ground,498.0,45.0,,5.0,,2.2,,,,260,,,,,normal,normal,normal,normal,
149,03:24,13:37:24,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
150,03:24,13:37:25,ground,498.0,45.0,,5.0,,2.2,,,,,,,362,,normal,normal,normal,normal,
151,03:24,13:37:26,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
152,03:24,13:37:27,ground,498.0,45.0,,5.0,,2.2,,,,,254,,,,normal,normal,normal,normal,
153,03:24,13:37:28,ground,498.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
154,03:24,13:37:29,ground,497.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
155,03:24,13:37:30,ground,497.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
156,03:24,13:37:31,ground,497.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
157,03:24,13:37:32,ground,497.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
158,03:24,13:37:33,ground,497.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
159,03:24,13:37:34,ground,497.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
160,03:24,13:37:35,ground,496.0,45.0,GIA217  ,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
161,03:24,13:37:36,ground,496.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
162,03:24,13:37:37,ground,496.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
163,03:24,13:37:38,ground,496.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
164,03:24,13:37:39,ground,496.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
165,03:24,13:37:40,ground,495.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
166,03:24,13:37:41,ground,495.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
167,03:24,13:37:42,ground,495.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
168,03:24,13:37:43,ground,495.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
169,03:24,13:37:44,ground,495.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
170,03:24,13:37:45,ground,494.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
171,03:24,13:37:46,ground,494.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
172,03:24,13:37:47,ground,494.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
173,03:24,13:37:48,ground,494.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
174,03:24,13:37:49,ground,493.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
175,03:24,13:37:50,ground,493.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
176,03:24,13:37:51,ground,493.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
177,03:24,13:37:52,ground,493.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
178,03:24,13:37:53,ground,493.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
179,03:24,13:37:54,ground,492.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
180,03:24,13:37:55,ground,492.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
181,03:24,13:37:56,ground,492.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
182,03:24,13:37:57,ground,492.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
183,03:24,13:37:58,ground,491.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
184,03:24,13:37:59,ground,491.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
185,03:24,13:38:00,ground,491.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
186,03:24,13:38:01,ground,490.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
187,03:24,13:38:02,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
188,03:24,13:38:03,ground,490.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
189,03:24,13:38:04,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
190,03:24,13:38:05,ground,490.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
191,03:24,13:38:06,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
192,03:24,13:38:07,ground,490.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
193,03:24,13:38:08,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
194,03:24,13:38:09,ground,490.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
195,03:24,13:38:10,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
196,03:24,13:38:11,ground,490.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
197,03:24,13:38:12,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
198,03:24,13:38:13,ground,490.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
199,03:24,13:38:14,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
200,03:24,13:38:15,ground,490.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
201,03:24,13:38:16,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
202,03:24,13:38:17,ground,490.0,45.0,,5.0,,2.2,214,,,,,,,,normal,normal,normal,normal,
203,03:24,13:38:18,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
204,03:24,13:38:19,ground,490.0,45.0,,5.0,,2.2,,,412,,,,,,normal,normal,normal,normal,
205,03:24,13:38:20,ground,491.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
206,03:24,13:38:21,ground,490.0,45.0,,5.0,,2.2,,,,,,,,207,normal,normal,normal,normal,
207,03:24,13:38:22,ground,491.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
208,03:24,13:38:23,ground,490.0,45.0,,5.0,,2.2,,,,,,410,,,normal,normal,normal,normal,
209,03:24,13:38:24,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
210,03:24,13:38:25,ground,490.0,45.0,,5.0,,2.2,,364,,,,,,,normal,normal,normal,normal,
211,03:24,13:38:26,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
212,03:24,13:38:27,ground,490.0,45.0,,5.0,,2.2,,,,260,,,,,normal,normal,normal,normal,
213,03:24,13:38:28,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
214,03:24,13:38:29,ground,490.0,45.0,,5.0,,2.2,,,,,,,362,,normal,normal,normal,normal,
215,03:24,13:38:30,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
216,03:24,13:38:31,ground,490.0,45.0,,5.0,,2.2,,,,,254,,,,normal,normal,normal,normal,
217,03:24,13:38:32,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
218,03:24,13:38:33,ground,490.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
219,03:24,13:38:34,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
220,03:24,13:38:35,ground,490.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
221,03:24,13:38:36,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
222,03:24,13:38:37,ground,490.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
223,03:24,13:38:38,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
224,03:24,13:38:39,ground,490.0,45.0,GIA217  ,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
225,03:24,13:38:40,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
226,03:24,13:38:41,ground,490.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
227,03:24,13:38:42,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
228,03:24,13:38:43,ground,490.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
229,03:24,13:38:44,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
230,03:24,13:38:45,ground,489.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
231,03:24,13:38:46,ground,489.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
232,03:24,13:38:47,ground,489.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
233,03:24,13:38:48,ground,489.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
234,03:24,13:38:49,ground,489.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
235,03:24,13:38:50,ground,489.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
236,03:24,13:38:51,ground,489.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
237,03:24,13:38:52,ground,489.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
238,03:24,13:38:53,ground,489.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
239,03:24,13:38:54,ground,489.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
240,03:24,13:38:55,ground,489.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
241,03:24,13:38:56,ground,489.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
242,03:24,13:38:57,ground,489.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
243,03:24,13:38:58,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
244,03:24,13:38:59,ground,490.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
245,03:24,13:39:00,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
246,03:24,13:39:01,ground,490.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
247,03:24,13:39:02,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
248,03:24,13:39:03,ground,490.0,45.0,,5.0,,2.2,,,,,,,,,normal,normal,normal,normal,
249,03:24,13:39:04,ground,490.0,45.0,,5.0,2.3,,,,,,,,,,normal,normal,normal,normal,
