id_dfdr,id_dataframe,desc,d_type,flap_monitoring,stab_trim_problem
AltAcquire,ALTACQUIRE,Alt Acquire,,,
AlternateArm,ALTERNATEARM,Alternate Arm,,,
AltHold,ALTHOLD,Alt Hold,,,
AltHoldPBLit,ALTHOLDPBLIT,Alt Hold PB Lite,,,
AltitReport,ALTITREPORT,Altitude Reporting,,,
Altitude,ALTITUDE,Altitude 1013.25,numeric,V,V
Altitude-Crs,ALTITUDE-CRS,Altitude Coarse,,,
Altitude-Fin,ALTITUDE-FIN,Altitude Fine,,,
Altitude-FMC,ALTITUDE-FMC,FMC Altitude Selct,,,
AltitudeSel,ALTITUDESEL,Altitude Select,,,
Altitude-Sel,ALTITUDE-SEL,Selected Altitude,,,
AltrnatFlt-1,ALTRNATFLT-1,Alternator Fault-1,,,
AltrnatFlt-2,ALTRNATFLT-2,Alternator Fault-2,,,
ANP-Lateral,ANP-LATERAL,ANP Lateral,,,
ANP-Vertical,ANP-VERTICAL,ANP Vertical,,,
AOA-Fail,AOA-FAIL,AOA Fail,,,
AOA-L,AOA-L,Angle of Attack-L,,,
AOA-R,AOA-R,Angle of Attack-R,,,
AOA-SigFail,AOA-SIGFAIL,AOA Signal Fail,,,
ApprIdle-1,APPRIDLE-1,Approach Idle-1,,,
ApprIdle-2,APPRIDLE-2,Approach Idle-2,,,
ApprMdSel-CP,APPRMDSEL-CP,Approach Mode-CP,,,
ApprMdSel-FO,APPRMDSEL-FO,Approach Mode-FO,,,
ApprPBLite,APPRPBLITE,Approach PB Lite,,,
ApuAnyFaultD,APUANYFAULTD,APU Any FaultDtect,,,
ApuEGT(T5),APUEGT(T5),APU EGT (T5),,,
ApuFire,APUFIRE,APU Fire,,,
ApuFuelFlow,APUFUELFLOW,APU Fuel Flow,,,
ApuLoOilQty,APULOOILQTY,APU Lo Oil Qty,,,
ApuN1,APUN1,APU N1,,,
ApuOilTemp,APUOILTEMP,APU Oil Temp,,,
ApuOn,APUON,APU On,,,
Arm,ARM,Arm,,,
AssumeTempDe,ASSUMETEMPDE,Assumed Tmp Derate,,,
AsymEnable,ASYMENABLE,Asymmetry Enabled,,,
AttitudInval,ATTITUDINVAL,Attitude Invalid,,,
AutoBrkAppli,AUTOBRKAPPLI,Auto Brake Applied,,,
AutoNavReali,AUTONAVREALI,Auto Nav Realign,,,
AutoSlatCmd,AUTOSLATCMD,Auto Slat Cmd,,,
AuxTankFuelQ,AUXTANKFUELQ,Aux Tank Fuel Qty,,,
AveAirSpdErr,AVEAIRSPDERR,Average AirSpd Err,,,
AvmAlrtEng-1,AVMALRTENG-1,AVM Alert Engine-1,,,
AvmAlrtEng-2,AVMALRTENG-2,AVM Alert Engine-2,,,
AvmSysFault,AVMSYSFAULT,AVM Sys Fault,,,
BackCrseArm,BACKCRSEARM,Backcourse Arm,,,
BackCrseEnga,BACKCRSEENGA,Backcourse Engaged,,,
BaroCor-1,BAROCOR-1,Baro Cor (in HG)-1,,,
BaroCor-2,BAROCOR-2,Baro Cor (in HG)-2,,,
BaroCorAlt-1,BAROCORALT-1,Baro Cor Alt-1,,,
BaroCorAlt-2,BAROCORALT-2,Baro Cor Alt-2,,,
BaroCorAlt-3,BAROCORALT-3,Baro Cor Alt-3,,,
BaroCorAlt-4,BAROCORALT-4,Baro Cor Alt-4,,,
BaroDataIn-1,BARODATAIN-1,BaroData Invalid-1,,,
BaroDataIn-2,BARODATAIN-2,BaroData Invalid-2,,,
BaroSigFai-3,BAROSIGFAI-3,Baro Signal Fail-3,,,
BleedAirSw,BLEEDAIRSW,Bleed Air Switch,,,
BleedVlvOpen,BLEEDVLVOPEN,Bleed Valve Open,,,
BrakePrs-L,BRAKEPRS-L,BrkPrs Alt/Main-L,,,
BrakePrs-R,BRAKEPRS-R,BrkPrs Alt/Main-R,,,
BrkTmpOvHtLt,BRKTMPOVHTLT,BrkTmp Overheat LT,,,
BSV-Closed-1,BSV-CLOSED-1,BSV Demand Clsd-1,,,
BSV-Closed-2,BSV-CLOSED-2,BSV Demand Clsd-2,,,
BSV-PosSta-1,BSV-POSSTA-1,BSV Postit'nStat-1,,,
BSV-PosSta-2,BSV-POSSTA-2,BSV Postit'nStat-2,,,
CabinAlt<10k,CABINALT<10K,Cabin Alt > 10kft,,,
CalcMach-1,CALCMACH-1,Calculated Mach-1,,,
CalcMach-2,CALCMACH-2,Calculated Mach-2,,,
CautObstAhed,CAUTOBSTAHED,Caut'n Obstacle or,,,
CautTerrain,CAUTTERRAIN,Caution Terrain,,,
CautWndShr,CAUTWNDSHR,Caution Windshear,,,
CC-Force-For,CC-FORCE-FOR,Pitch CWS Foreign,,,
CC-Force-Loc,CC-FORCE-LOC,Pitch CWS Local,,,
CDS-FaltMs-1,CDS-FALTMS-1,CDS FaultMsg DEU-1,,,
CDS-FaltMs-2,CDS-FALTMS-2,CDS FaultMsg DEU-2,,,
CDS-MainMs-1,CDS-MAINMS-1,CDS MaintMsg DEU-1,,,
CDS-MainMs-2,CDS-MAINMS-2,CDS MaintMsg DEU-2,,,
CentrDisF-CP,CENTRDISF-CP,Center Display,,,
CentrDisF-FO,CENTRDISF-FO,Center Display,,,
ChanInCtrl-1,CHANINCTRL-1,Cannel in Contrl-1,,,
ChanInCtrl-2,CHANINCTRL-2,Cannel in Contrl-2,,,
ChannelFlt-1,CHANNELFLT-1,Channel Fault-1,,,
ChannelFlt-2,CHANNELFLT-2,Channel Fault-2,,,
Checklist,CHECKLIST,Check List,,,
ClearSubmode,CLEARSUBMODE,Clr (Clear) Submd,,,
CMD-A,CMD-A,Cmd-A,,,
CMD-B,CMD-B,Cmd-B,,,
CN1-AccelSrc,CN1-ACCELSRC,CN1 Acclerometer,,,
CN1-FanVib-L,CN1-FANVIB-L,CN1 Fan Vib-L,,,
CN1-FanVib-R,CN1-FANVIB-R,CN1 Fan Vib-R,,,
CN2-AccelSrc,CN2-ACCELSRC,CN2 Acclerometer,,,
CN2-HpcVib-L,CN2-HPCVIB-L,CN2 HPC Vib-L,,,
CN2-HpcVib-R,CN2-HPCVIB-R,CN2 HPC Vib-R,,,
CntrolCol-CP,CNTROLCOL-CP,Control Column-CP,,,
CntrolCol-FO,CNTROLCOL-FO,Control Column-FO,,,
CntrolWhl-CP,CNTROLWHL-CP,Control Wheel-CP,,,
CntrolWhl-FO,CNTROLWHL-FO,Control Wheel-FO,,,
CombinContrl,COMBINCONTRL,Combined Control,,,
CombSever-1,COMBSEVER-1,Combustr Sevrity-1,,,
CombSever-2,COMBSEVER-2,Combustr Sevrity-2,,,
Comm,COMM,Comm,,,
ContReg-1,CONTREG-1,Cont Reg-1,,,
ContReg-2,CONTREG-2,Cont Reg-2,,,
CourseSelc-1,COURSESELC-1,Selected Course-1,,,
CourseSelc-2,COURSESELC-2,Selected Course-2,,,
CowlTaiCd-1,COWLTAICD-1,Cowl TAI Cnfg Cd-1,,,
CowlTaiCd-2,COWLTAICD-2,Cowl TAI Cnfg Cd-2,,,
CustUniqFrm1,CUSTUNIQFRM1,Customer Unique,,,
CustUniqFrm2,CUSTUNIQFRM2,Customer Unique,,,
CutbackArmed,CUTBACKARMED,Cutback Armed,,,
CutbackEngag,CUTBACKENGAG,Cutback Engaged,,,
CW-Forc-Roll,CW-FORC-ROLL,Roll CWS CW Force,,,
CWS-A,CWS-A,CWS-A,,,
CWS-B,CWS-B,CWS-B,,,
CWS-Pitch,CWS-PITCH,CWS Pitch,,,
CWS-Roll,CWS-ROLL,CWS Roll,,,
CWS-Warn,CWS-WARN,CWS Warn,,,
DacFuelVlv-1,DACFUELVLV-1,DAC Fuel Vlv Sel-1,,,
DacFuelVlv-2,DACFUELVLV-2,DAC Fuel Vlv Sel-2,,,
DacStagMd-1,DACSTAGMD-1,DAC Staging Md-1,,,
DacStagMd-2,DACSTAGMD-2,DAC Staging Md-2,,,
Database-P/N,DATABASE-P/N,050-2761-102,,,
Database-WPS,DATABASE-WPS,737-6/7/7C/8/900,,,
DataBroadC-L,DATABROADC-L,DataBroadcast Md-L,,,
DataBroadC-R,DATABROADC-R,DataBroadcast Md-R,,,
Day,DAY,Day,,,
DC-Fail,DC-FAIL,DC Fail,,,
DC-Fail/OnDC,DC-FAIL/ONDC,DC Fail/ON DC,,,
DesiredTrack,DESIREDTRACK,Desired Track,,,
DestinatChar,DESTINATCHAR,Destination Char,,,
Destinat-ETA,DESTINAT-ETA,ETA Destination,,,
DH-Select-CP,DH-SELECT-CP,DH Selected-CP,,,
DH-Select-FO,DH-SELECT-FO,DH Selected-FO,,,
DisplayDataE,DISPLAYDATAE,EFIS Display Data,,,
Dist2Go,DIST2GO,Distance 2 Go,,,
Dist2Go-WPT,DIST2GO-WPT,Distnce 2 Go (WPT),,,
DME-AntFai-L,DME-ANTFAI-L,DME Antenna Fail-L,,,
DME-AntFai-R,DME-ANTFAI-R,DME Antenna Fail-R,,,
DME-Dist-L,DME-DIST-L,DME Distance-L,,,
DME-Dist-R,DME-DIST-R,DME Distance-R,,,
DME-DspBit-L,DME-DSPBIT-L,DME Display Bit-L,,,
DME-DspBit-R,DME-DSPBIT-R,DME Display Bit-R,,,
DME-Fail-L,DME-FAIL-L,DME Fail-L,,,
DME-Fail-R,DME-FAIL-R,DME Fail-R,,,
DontSink,DONTSINK,Don't Sink,,,
DownAdvis,DOWNADVIS,Down Advisory,,,
DriftAngle,DRIFTANGLE,Drift Angle,,,
DsmInBEng-CP,DSMINBENG-CP,DSM INBD Eng-CP,,,
DsmInBEng-FO,DSMINBENG-FO,DSM INBD Eng-FO,,,
DsmInBMfd-CP,DSMINBMFD-CP,DSM INBD MFD-CP,,,
DsmInBMfd-FO,DSMINBMFD-FO,DSM INBD MFD-FO,,,
DsmInBPfd-CP,DSMINBPFD-CP,DSM INBD PFD-CP,,,
DsmInBPfd-FO,DSMINBPFD-FO,DSM INBD PFD-FO,,,
DsmLwrEng-CP,DSMLWRENG-CP,DSM Lower Eng-CP,,,
DsmLwrEng-FO,DSMLWRENG-FO,DSM Lower Eng-FO,,,
DsmLwrND-CP,DSMLWRND-CP,DSM Lower ND-CP,,,
DsmLwrND-FO,DSMLWRND-FO,DSM Lower ND-FO,,,
DsmLwrNrm-CP,DSMLWRNRM-CP,DSM Lower Norm-CP,,,
DsmLwrNrm-FO,DSMLWRNRM-FO,DSM Lower Norm-FO,,,
DsmLwrSpr-CP,DSMLWRSPR-CP,DSM Lower Spare-CP,,,
DsmLwrSpr-FO,DSMLWRSPR-FO,DSM Lower Spare-FO,,,
DsmNorm-CP,DSMNORM-CP,DSM Norm-CP,,,
DsmNorm-FO,DSMNORM-FO,DSM Norm-FO,,,
DsmOutBrd-CP,DSMOUTBRD-CP,DSM OutBord PFD-CP,,,
DsmOutBrd-FO,DSMOUTBRD-FO,DSM OutBord PFD-FO,,,
DspAppDst-CP,DSPAPPDST-CP,Displ APP Dist-CP,,,
DspAppDst-FO,DSPAPPDST-FO,Displ APP Dist-FO,,,
DspAppSrc-CP,DSPAPPSRC-CP,Displ APP Sourc-CP,,,
DspAppSrc-FO,DSPAPPSRC-FO,Displ APP Sourc-FO,,,
DspUnit1-LIB,DSPUNIT1-LIB,Display Unit Drivn,,,
DspUnit1-LOB,DSPUNIT1-LOB,Display Unit Drivn,,,
DspUnit1-RIB,DSPUNIT1-RIB,Display Unit Drivn,,,
DspUnit1-ROB,DSPUNIT1-ROB,Display Unit Drivn,,,
DspUnit2-LIB,DSPUNIT2-LIB,Display Unit Drivn,,,
DspUnit2-LOB,DSPUNIT2-LOB,Display Unit Drivn,,,
DspUnit2-RIB,DSPUNIT2-RIB,Display Unit Drivn,,,
DspUnit2-ROB,DSPUNIT2-ROB,Display Unit Drivn,,,
DspUnitD1-CL,DSPUNITD1-CL,Display Unit Drivn,,,
DspUnitD1-CU,DSPUNITD1-CU,Display Unit Drivn,,,
DspUnitD2-CL,DSPUNITD2-CL,Display Unit Drivn,,,
DspUnitD2-CU,DSPUNITD2-CU,Display Unit Drivn,,,
DUFormat-CL,DUFORMAT-CL,DU Format-CL,,,
DUFormat-CU,DUFORMAT-CU,DU Format-CU,,,
DUFormat-LIB,DUFORMAT-LIB,DU Format-LIB,,,
DUFormat-LOB,DUFORMAT-LOB,DU Format-LOB,,,
DUFormat-RIB,DUFORMAT-RIB,DU Format-RIB,,,
DUFormat-ROB,DUFORMAT-ROB,DU Format-ROB,,,
ECS,ECS,ECS,,,
ECS-CnfgCd-1,ECS-CNFGCD-1,ECS Config Code-1,,,
ECS-CnfgCd-2,ECS-CNFGCD-2,ECS Config Code-2,,,
ECS-IsolVlv,ECS-ISOLVLV,ECS Isolation Valv,,,
ECS-PackOn-L,ECS-PACKON-L,ECS Pack On-L,,,
ECS-PackOn-R,ECS-PACKON-R,ECS Pack On-R,,,
ECS-PckFlo-L,ECS-PCKFLO-L,ECS Pack Flow-L,,,
ECS-PckFlo-R,ECS-PCKFLO-R,ECS Pack Flow-R,,,
EGPWS-Bit22,EGPWS-BIT22,EGPWS Bit 22,,,
EGPWS-Bit23,EGPWS-BIT23,EGPWS Bit 23,,,
EGPWS-Dsp-CP,EGPWS-DSP-CP,EGPWS Disp Sel-CP,,,
EGPWS-Dsp-FO,EGPWS-DSP-FO,EGPWS Disp Sel-FO,,,
EGT-AmbLim-1,EGT-AMBLIM-1,EGT Amber Limit-1,,,
EGT-AmbLim-2,EGT-AMBLIM-2,EGT Amber Limit-2,,,
EGT-NrmAmb-L,EGT-NRMAMB-L,EGT NormAmbLimit-L,,,
EGT-NrmAmb-R,EGT-NRMAMB-R,EGT NormAmbLimit-R,,,
EGT-NrmRed-L,EGT-NRMRED-L,EGT Norm Redline-L,,,
EGT-NrmRed-R,EGT-NRMRED-R,EGT Norm Redline-R,,,
EGT-Redlin-1,EGT-REDLIN-1,EGT Redline-1,,,
EGT-Redlin-2,EGT-REDLIN-2,EGT Redline-2,,,
EGT-Select-1,EGT-SELECT-1,Selectd EGT T495-1,,,
EGT-Select-2,EGT-SELECT-2,Selectd EGT T495-2,,,
EGT-StrRed-1,EGT-STRRED-1,EGT StartRedline-1,,,
EGT-StrRed-2,EGT-STRRED-2,EGT StartRedline-2,,,
EGT-StrRed-L,EGT-STRRED-L,EGT StartRedline-L,,,
EGT-StrRed-R,EGT-STRRED-R,EGT StartRedline-R,,,
ElevActuat-L,ELEVACTUAT-L,Elev ActuatorPos-L,,,
ElevActuat-R,ELEVACTUAT-R,Elev ActuatorPos-R,,,
Elevator-L,ELEVATOR-L,Elevator-L,,,
Elevator-R,ELEVATOR-R,Elevator-R,,,
ElevFeelSysC,ELEVFEELSYSC,Elev Feel Sys Cmd,,,
ElevPitchC-L,ELEVPITCHC-L,Elev Pitch Cmd-L,,,
ElevPitchC-R,ELEVPITCHC-R,Elev Pitch Cmd-R,,,
ElevQuadrant,ELEVQUADRANT,Elev Quadrant Pos,,,
EngBldSw-1,ENGBLDSW-1,Eng Bleed Switch-1,,,
EngBldSw-2,ENGBLDSW-2,Eng Bleed Switch-2,,,
EngCutOff-1,ENGCUTOFF-1,Eng Cut Off-1,,,
EngCutOff-2,ENGCUTOFF-2,Eng Cut Off-2,,,
EngDispData,ENGDISPDATA,Engine Disply Data,,,
EngFire-1,ENGFIRE-1,Engine Fire-1,,,
EngFire-2,ENGFIRE-2,Engine Fire-2,,,
EngHotStrt-L,ENGHOTSTRT-L,Eng HotStart Dtect,,,
EngHotStrt-R,ENGHOTSTRT-R,Eng HotStart Dtect,,,
EngineFail-L,ENGINEFAIL-L,Engine Fail-L,,,
EngineFail-R,ENGINEFAIL-R,Engine Fail-R,,,
EngModel-1,ENGMODEL-1,Eng Model 5C/7B #1,,,
EngModel-2,ENGMODEL-2,Eng Model 5C/7B #2,,,
EngOilQty-1,ENGOILQTY-1,Engine Oil Qty-1,,,
EngOilQty-2,ENGOILQTY-2,Engine Oil Qty-2,,,
EngOutClmGrd,ENGOUTCLMGRD,Eng Out Climb Grad,,,
Eng-OutEnga,ENG-OUTENGA,Engine Out Engaged,,,
EngPanelMd-1,ENGPANELMD-1,Engine Panel Md-1,,,
EngPanelMd-2,ENGPANELMD-2,Engine Panel Md-2,,,
EngPosCode-1,ENGPOSCODE-1,Eng Position Cd-1,,,
EngPosCode-2,ENGPOSCODE-2,Eng Position Cd-2,,,
EngRating-1,ENGRATING-1,Eng Rating-1,,,
EngRating-2,ENGRATING-2,Eng Rating-2,,,
Error,ERROR,Sync Errors & Skip,,,
EventMarker,EVENTMARKER,Event Marker,,,
ExcesMotionE,EXCESMOTIONE,Excess MotionError,,,
ExcInvalid-L,EXCINVALID-L,EXC Invalid-L,,,
ExcInvalid-R,EXCINVALID-R,EXC Invalid-R,,,
F/D-On-A,F/D-ON-A,F/D On-A,,,
F/D-On-B,F/D-ON-B,F/D On-B,,,
F/D-Pitch-L,F/D-PITCH-L,Flight Dir Pitch-L,,,
F/D-Pitch-R,F/D-PITCH-R,Flight Dir Pitch-R,,,
F/D-Roll-L,F/D-ROLL-L,Flight Dir Roll-L,,,
F/D-Roll-R,F/D-ROLL-R,Flight Dir Roll-R,,,
FAC-Arm,FAC-ARM,FAC-Arm,,,
FAC-Engage,FAC-ENGAGE,FAC-Engage,,,
FanImbAccSrc,FANIMBACCSRC,Fan Imb Accel Srce,,,
FanImbAng-L,FANIMBANG-L,Fan Imbalnce Ang-L,,,
FanImbAng-R,FANIMBANG-R,Fan Imbalnce Ang-R,,,
FaultDispA-1,FAULTDISPA-1,Fault Dispatch Lvl,,,
FaultDispA-2,FAULTDISPA-2,Fault Dispatch Lvl,,,
FCC-MachTr-L,FCC-MACHTR-L,FCC in Cmd of Mach,,,
FCC-MachTr-R,FCC-MACHTR-R,FCC in Cmd of Mach,,,
FixDrateLv-1,FIXDRATELV-1,Fixed Derate Lvl-1,,,
FixDrateLv-2,FIXDRATELV-2,Fixed Derate Lvl-2,,,
FlamOutAct-1,FLAMOUTACT-1,Flameout ProtAct-1,,,
FlamOutAct-2,FLAMOUTACT-2,Flameout ProtAct-2,,,
FlapExt-1,FLAPEXT_1,Flap Extend-1,object,V,V
FlapExt-2,FLAPEXT_2,Flap Extend-2,object,V,V
FlapExt-3,FLAPEXT_3,Flap Extend-3,object,V,V
FlapExt-4,FLAPEXT_4,Flap Extend-4,object,V,V
FlapHandlPos,FLAPHANDLPOS,Flap Handle Pos,numeric,V,V
FlapTrans-1,FLAPTRANS_1,Flap Transit-1,object,V,V
FlapTrans-2,FLAPTRANS_2,Flap Transit-2,object,V,V
FlapTrans-3,FLAPTRANS_3,Flap Transit-3,object,V,V
FlapTrans-4,FLAPTRANS_4,Flap Transit-4,object,V,V
FlareArm,FLAREARM,Flare Arm,,,
FlareCmdNotI,FLARECMDNOTI,Flare Cmd Not Init,,,
FlareEngage,FLAREENGAGE,Flare Engage,,,
FleetIdent,FLEETIDENT,Fleet Ident,,,
FlightNumber,FLIGHTNUMBER,Flight Number,,,
FltNumbChar,FLTNUMBCHAR,Flight Number Char,,,
FltPathAngle,FLTPATHANGLE,Flight Path Angle,,,
FltPathPos-X,FLTPATHPOS-X,Flight Path Pos-X,,,
FltPathPos-Y,FLTPATHPOS-Y,Flight Path Pos-Y,,,
FMC/IRU-Data,FMC/IRU-DATA,FMC/IRU Data Sourc,,,
FMC-Map,FMC-MAP,FMC MissdApprPoint,,,
FMC-SelSw-CP,FMC-SELSW-CP,FMC Select Sw-CP,,,
FMC-Valid,FMC-VALID,FMC Valid,,,
FMV-SelPos-1,FMV-SELPOS-1,Selected FMV Pos-1,,,
FMV-SelPos-2,FMV-SELPOS-2,Selected FMV Pos-2,,,
FPV-Selct-CP,FPV-SELCT-CP,FPV Selected-CP,,,
FPV-Selct-FO,FPV-SELCT-FO,FPV Selected-FO,,,
FrameCounter,FRAMECOUNTER,Frame Counter,,,
FSEU-Fault,FSEU-FAULT,FSEU Fault,,,
FuelAirRat-1,FUELAIRRAT-1,Fuel Air Ratio-1,,,
FuelAirRat-2,FUELAIRRAT-2,Fuel Air Ratio-2,,,
FuelCnfgAlrt,FUELCNFGALRT,Fuel Config Alert,,,
FuelFiltBP-1,FUELFILTBP-1,Fuel Filter Bypass,,,
FuelFiltBP-2,FUELFILTBP-2,Fuel Filter Bypass,,,
FuelFiltrB-L,FUELFILTRB-L,Fuel Filter Imp By,,,
FuelFiltrB-R,FUELFILTRB-R,Fuel Filter Imp By,,,
FuelFlowS-1,FUELFLOWS-1,Fuel Flow Select-1,,,
FuelFlowS-2,FUELFLOWS-2,Fuel Flow Select-2,,,
FuelQtyImb-1,FUELQTYIMB-1,Fuel Qty Imbalance,,,
FuelQtyImb-2,FUELQTYIMB-2,Fuel Qty Imbalance,,,
FwdThrLimt-1,FWDTHRLIMT-1,Fwd Thr Lmy by T/R,,,
FwdThrLimt-2,FWDTHRLIMT-2,Fwd Thr Lmy by T/R,,,
G/S-AntFai-L,G/S-ANTFAI-L,G/S Antenna Fail-L,,,
G/S-AntFai-R,G/S-ANTFAI-R,G/S Antenna Fail-R,,,
G/S-Arm,G/S-ARM,G/S Arm,,,
G/S-BeamAnom,G/S-BEAMANOM,G/S Beam Anom,,,
G/S-Cancel,G/S-CANCEL,G/S Cancel,,,
G/S-Dev,G/S-DEV,G/S Dev,,,
G/S-Dev-Disp,G/S-DEV-DISP,G/S Display Dev-CP,,,
G/S-Dev-Elev,G/S-DEV-ELEV,G/S Dev Elevation,,,
G/S-DevWarn,G/S-DEVWARN,G/S Dev Warn,,,
G/S-Discrete,G/S-DISCRETE,G/S Discrete,,,
G/S-Engage,G/S-ENGAGE,G/S Engage,,,
G/S-RecFai-L,G/S-RECFAI-L,G/S Receivr Fail-L,,,
G/S-RecFai-R,G/S-RECFAI-R,G/S Receivr Fail-R,,,
G/S-TestTune,G/S-TESTTUNE,TestTuneInhibt-G/S,,,
GA,GA,GA,,,
GearDown-L,GEARDOWN-L,Gear Down-L,,,
GearDown-N,GEARDOWN-N,Gear Down-Nose,,,
GearDown-R,GEARDOWN-R,Gear Down-R,,,
GearRedWrn-L,GEARREDWRN-L,Gear Red Warn-L,,,
GearRedWrn-N,GEARREDWRN-N,Gear Red Warn-Nose,,,
GearRedWrn-R,GEARREDWRN-R,Gear Red Warn-R,,,
GLS-Mode-L,GLS-MODE-L,GLS Mode-L,,,
GLS-Mode-R,GLS-MODE-R,GLS Mode-R,,,
GMT,GMT,GMT (Combined),,,
GMT_Hours,GMT_HOURS,GMT Hours (binary),,,
GMT_Minutes,GMT_MINUTES,GMT Minute(binary),,,
GMT_Seconds,GMT_SECONDS,GMT Second(binary),,,
GndEffctInop,GNDEFFCTINOP,Ground Effect INOP,,,
GndSp/SpdBrk,GNDSP/SPDBRK,Ground Spoiler/Spd,,,
GndStaDat-CP,GNDSTADAT-CP,Gnd Sta DataSel-CP,,,
